HISARMETAL,Hisar Metal Industries Limited,EQ,10
HITECH,Hi-Tech Pipes Limited,EQ,10
HITECHCORP,Hitech Corporation Limited,EQ,10
HITECHGEAR,The Hi-Tech Gears Limited,EQ,10
HMT,HMT Limited,BZ,10
HMVL,Hindustan Media Ventures Limited,EQ,10
HONAUT,Honeywell Automation India Limited,EQ,10
HONDAPOWER,Honda India Power Products Limited,EQ,10
HOVS,HOV Services Limited,EQ,10
HPAL,HP Adhesives Limited,EQ,10
HPIL,Hindprakash Industries Limited,EQ,10
HPL,HPL Electric & Power Limited,EQ,10
HUBTOWN,Hubtown Limited,EQ,10
HUDCO,Housing & Urban Development Corporation Limited,EQ,10
ICDSLTD,ICDS Limited,BE,10
ICEMAKE,Ice Make Refrigeration Limited,EQ,10
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,10
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,10
ICRA,ICRA Limited,EQ,10
IDBI,IDBI Bank Limited,EQ,10
IDEA,Vodafone Idea Limited,EQ,10
IDFC,IDFC Limited,EQ,10
IDFCFIRSTB,IDFC First Bank Limited,EQ,10
IFBAGRO,IFB Agro Industries Limited,EQ,10
IFBIND,IFB Industries Limited,EQ,10
IFCI,IFCI Limited,EQ,10
IFGLEXPOR,IFGL Refractories Limited,EQ,10
IGARASHI,Igarashi Motors India Limited,EQ,10
IGPL,IG Petrochemicals Limited,EQ,10
IITL,Industrial Investment Trust Limited,EQ,10
IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ,10
IL&FSTRANS,IL&FS Transportation Networks Limited,BZ,10
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,10
IMFA,Indian Metals & Ferro Alloys Limited,EQ,10
IMPAL,India Motor Parts and Accessories Limited,EQ,10
IMPEXFERRO,Impex Ferro Tech Limited,BE,10
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,BE,10
INDBANK,Indbank Merchant Banking Services Limited,EQ,10
INDIACEM,The India Cements Limited,EQ,10
INDIAGLYCO,India Glycols Limited,EQ,10
INDIAMART,Indiamart Intermesh Limited,EQ,10
INDIANB,Indian Bank,EQ,10
INDIANCARD,Indian Card Clothing Company Limited,EQ,10
INDIGO,InterGlobe Aviation Limited,EQ,10
INDIGOPNTS,Indigo Paints Limited,EQ,10
INDLMETER,IMP Powers Limited,BZ,10
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,10
INDOSTAR,IndoStar Capital Finance Limited,BE,10
INDOTECH,Indo Tech Transformers Limited,EQ,10
INDOTHAI,Indo Thai Securities Limited,BE,10
INDOWIND,Indowind Energy Limited,BE,10
INDRAMEDCO,Indraprastha Medical Corporation Limited,BE,10
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,10
INDUSINDBK,IndusInd Bank Limited,EQ,10
INDUSTOWER,Indus Towers Limited,EQ,10
INFOBEAN,InfoBeans Technologies Limited,EQ,10
INFOMEDIA,Infomedia Press Limited,EQ,10
INGERRAND,Ingersoll Rand (India) Limited,EQ,10
INOXGREEN,Inox Green Energy Services Limited,EQ,10
INOXWIND,Inox Wind Limited,EQ,10
INSECTICID,Insecticides (India) Limited,EQ,10
INSPIRISYS,Inspirisys Solutions Limited,EQ,10
IOB,Indian Overseas Bank,EQ,10
IOC,Indian Oil Corporation Limited,EQ,10
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,10
IONEXCHANG,ION Exchange (India) Limited,EQ,10
IRFC,Indian Railway Finance Corporation Limited,EQ,10
IRIS,Iris Business Services Limited,EQ,10
IRISDOREME,Iris Clothings Limited,EQ,10
ISFT,Intrasoft Technologies Limited,EQ,10
ITDC,India Tourism Development Corporation Limited,EQ,10
ITI,ITI Limited,EQ,10
IVP,IVP Limited,EQ,10
IWEL,Inox Wind Energy Limited,EQ,10
IZMO,IZMO Limited,EQ,10
JAIBALAJI,Jai Balaji Industries Limited,EQ,10
JAIPURKURT,Nandani Creation Limited,BE,10
JASH,Jash Engineering Limited,EQ,10
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10
JBFIND,JBF Industries Limited,BZ,10
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,EQ,10
JETAIRWAYS,Jet Airways (India) Limited,BZ,10
JHS,JHS Svendgaard Laboratories Limited,EQ,10
JINDALPHOT,Jindal Photo Limited,EQ,10
JINDALPOLY,Jindal Poly Films Limited,EQ,10
JKCEMENT,JK Cement Limited,EQ,10
JKPAPER,JK Paper Limited,EQ,10
JOCIL,Jocil Limited,EQ,10
JPINFRATEC,Jaypee Infratech Limited,BE,10
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,10
JPPOWER,Jaiprakash Power Ventures Limited,EQ,10
JSWENERGY,JSW Energy Limited,EQ,10
JSWHL,JSW Holdings Limited,EQ,10
JSWISPL,JSW Ispat Special Products Limited,EQ,10
JUBLINDS,Jubilant Industries Limited,EQ,10
JUSTDIAL,Just Dial Limited,EQ,10
JWL,Jupiter Wagons Limited,EQ,10
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,10
KALYANI,Kalyani Commercials Limited,BE,10
KALYANIFRG,Kalyani Forge Limited,BE,10
KALYANKJIL,Kalyan Jewellers India Limited,EQ,10
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,10
KAMDHENU,Kamdhenu Limited,EQ,10
KANPRPLA,Kanpur Plastipack Limited,EQ,10
KAPSTON,Kapston Services Limited,BE,10
KARMAENG,Karma Energy Limited,EQ,10
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ,10
KAVVERITEL,Kavveri Telecom Products Limited,EQ,10
KAYA,Kaya Limited,EQ,10
KAYNES,Kaynes Technology India Limited,EQ,10
KDDL,KDDL Limited,EQ,10
KECL,Kirloskar Electric Company Limited,EQ,10
KENNAMET,Kennametal India Limited,EQ,10
KERNEX,Kernex Microsystems (India) Limited,BE,10
KESORAMIND,Kesoram Industries Limited,EQ,10
KEYFINSERV,Keynote Financial Services Limited,EQ,10
KFINTECH,Kfin Technologies Limited,EQ,10
KHADIM,Khadim India Limited,EQ,10
KHAITANLTD,Khaitan (India) Limited,BE,10
KHANDSE,Khandwala Securities Limited,BE,10
KICL,Kalyani Investment Company Limited,EQ,10
KILITCH,Kilitch Drugs (India) Limited,EQ,10
KIMS,Krishna Institute of Medical Sciences Limited,EQ,10
KINGFA,Kingfa Science & Technology (India) Limited,EQ,10
KIOCL,KIOCL Limited,EQ,10
KIRIINDUS,Kiri Industries Limited,EQ,10
KIRLOSIND,Kirloskar Industries Limited,EQ,10
KKCL,Kewal Kiran Clothing Limited,EQ,10
KOHINOOR,Kohinoor Foods Limited,EQ,10
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,10
KOPRAN,Kopran Limited,EQ,10
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,10
KOTHARIPET,Kothari Petrochemicals Limited,EQ,10
KOTHARIPRO,Kothari Products Limited,EQ,10
KOVAI,Kovai Medical Center and Hospital Limited,EQ,10
KPIGREEN,KPI Green Energy Limited,EQ,10
KPITTECH,KPIT Technologies Limited,EQ,10
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ,10
KRISHANA,Krishana Phoschem Limited,EQ,10
KSB,Ksb Limited,EQ,10
KSOLVES,Ksolves India Limited,EQ,10
KTKBANK,The Karnataka Bank Limited,EQ,10
L&TFH,L&T Finance Holdings Limited,EQ,10
LAGNAM,Lagnam Spintex Limited,EQ,10
LAKPRE,Lakshmi Precision Screws Limited,BZ,10
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,10
LASA,Lasa Supergenerics Limited,EQ,10
LAXMICOT,Laxmi Cotspin Limited,EQ,10
LAXMIMACH,Lakshmi Machine Works Limited,EQ,10
LEMONTREE,Lemon Tree Hotels Limited,EQ,10
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,10
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,10
LIBAS,Libas Consumer Products Limited,EQ,10
LIBERTSHOE,Liberty Shoes Limited,EQ,10
LICI,Life Insurance Corporation Of India,EQ,10
LINC,Linc Limited,EQ,10
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,10
LINDEINDIA,Linde India Limited,EQ,10
LODHA,Macrotech Developers Limited,EQ,10
LOKESHMACH,Lokesh Machines Limited,EQ,10
LOTUSEYE,Lotus Eye Hospital and Institute Limited,BE,10
LOVABLE,Lovable Lingerie Limited,EQ,10
LOYALTEX,Loyal Textile Mills Limited,EQ,10
LUMAXIND,Lumax Industries Limited,EQ,10
LYKALABS,Lyka Labs Limited,EQ,10
LYPSAGEMS,Lypsa Gems & Jewellery Limited,EQ,10
MAANALU,Maan Aluminium Limited,EQ,10
MACPOWER,Macpower CNC Machines Limited,EQ,10
MADHAV,Madhav Marbles and Granites Limited,EQ,10
MADRASFERT,Madras Fertilizers Limited,EQ,10
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,10
MAGNUM,Magnum Ventures Limited,EQ,10
MAHABANK,Bank of Maharashtra,EQ,10
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,EQ,10
MAHASTEEL,Mahamaya Steel Industries Limited,EQ,10
MAHEPC,Mahindra EPC Irrigation Limited,EQ,10
MAHESHWARI,Maheshwari Logistics Limited,EQ,10
MAHINDCIE,Mahindra CIE Automotive Limited,EQ,10
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10
MAHLOG,Mahindra Logistics Limited,EQ,10
MAHSCOOTER,Maharashtra Scooters Limited,EQ,10
MAITHANALL,Maithan Alloys Limited,EQ,10
MALLCOM,Mallcom (India) Limited,EQ,10
MALUPAPER,Malu Paper Mills Limited,EQ,10
MANGALAM,Mangalam Drugs And Organics Limited,EQ,10
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ,10
